15 7.962916e-15  3.972334e-15 4.743045e-15 3.152219e-15 
15 3.152219e-15  2.584728e-15 3.696402e-15 2.662112e-15 
15 2.662112e-15  2.298962e-15 3.505730e-15 2.607080e-15 
15 2.607080e-15  2.276758e-15 3.514983e-15 2.737594e-15 
15 2.737594e-15  2.343499e-15 3.514949e-15 2.735426e-15 
15 2.735426e-15  2.348089e-15 3.534328e-15 2.544832e-15 
15 2.544832e-15  2.239165e-15 3.435923e-15 2.702185e-15 
15 2.702185e-15  2.327706e-15 3.474710e-15 2.569016e-15 
15 2.569016e-15  2.261797e-15 3.407679e-15 2.541177e-15 
15 2.541177e-15  2.247731e-15 3.350873e-15 2.523224e-15 
15 2.523224e-15  2.249688e-15 3.353964e-15 2.517640e-15 
15 2.517640e-15  2.238511e-15 3.404690e-15 2.543511e-15 
15 2.543511e-15  2.259513e-15 3.294391e-15 2.512794e-15 
15 2.512794e-15  2.248580e-15 3.310885e-15 2.656478e-15 
15 2.656478e-15  2.299036e-15 3.302898e-15 2.564513e-15 
