0 1.000000e+00  5.572874e-01 5.007257e-01 2.465206e-01 
1 2.465206e-01  1.952679e-01 1.484053e-01 1.036165e-01 
2 1.036165e-01  9.257431e-02 6.960201e-02 5.535692e-02 
3 5.535692e-02  5.191444e-02 3.959922e-02 3.362398e-02 
4 3.362398e-02  3.226335e-02 2.496397e-02 2.204014e-02 
5 2.204014e-02  2.141272e-02 1.676238e-02 1.516703e-02 
6 1.516703e-02  1.484252e-02 1.172544e-02 1.078042e-02 
7 1.078042e-02  1.059711e-02 8.431165e-03 7.835990e-03 
8 7.835990e-03  7.725446e-03 6.180764e-03 5.788647e-03 
9 5.788647e-03  5.718732e-03 4.595673e-03 4.328565e-03 
10 4.328565e-03  4.282772e-03 3.454153e-03 3.267540e-03 
11 3.267540e-03  3.236739e-03 2.618278e-03 2.485313e-03 
12 2.485313e-03  2.464156e-03 1.998273e-03 1.902039e-03 
13 1.902039e-03  1.887256e-03 1.533659e-03 1.463118e-03 
14 1.463118e-03  1.452642e-03 1.182592e-03 1.130340e-03 
