0 7.962916e-15  4.591713e-15 5.030725e-15 3.399060e-15 
1 3.399060e-15  3.268717e-15 4.197339e-15 3.076198e-15 
2 3.076198e-15  3.019735e-15 3.958443e-15 2.973418e-15 
3 2.973418e-15  2.951809e-15 3.948984e-15 2.940748e-15 
4 2.940748e-15  2.941709e-15 3.924567e-15 2.930132e-15 
5 2.930132e-15  2.905511e-15 3.904692e-15 2.910816e-15 
6 2.910816e-15  2.908495e-15 3.861933e-15 2.906594e-15 
7 2.906594e-15  2.892067e-15 3.877362e-15 2.927903e-15 
8 2.927903e-15  2.926680e-15 3.892438e-15 2.920236e-15 
9 2.920236e-15  2.908168e-15 3.825916e-15 2.892749e-15 
10 2.892749e-15  2.879629e-15 3.769220e-15 2.848346e-15 
11 2.848346e-15  2.856907e-15 3.783035e-15 2.898838e-15 
12 2.898838e-15  2.885695e-15 3.783448e-15 2.907779e-15 
13 2.907779e-15  2.903890e-15 3.736662e-15 2.861484e-15 
14 2.861484e-15  2.845338e-15 3.672256e-15 2.870138e-15 
